id,key,value,type
7854793,name,Diablo Oaks Way,regular
7854793,highway,residential,regular
7854793,cfcc,A41,tiger
7854793,county,"Contra Costa, CA",tiger
7854793,reviewed,no,tiger
7854793,name_base,Diablo Oaks,tiger
7854793,name_type,Way,tiger
7855371,foot,yes,regular
7855371,name,Lawrence Street,regular
7855371,lanes,2,regular
7855371,oneway,no,regular
7855371,bicycle,yes,regular
7855371,highway,residential,regular
7855371,surface,asphalt,regular
7855371,cycleway,no,regular
7855371,sidewalk,both,regular
7855371,cfcc,A41,tiger
7855371,county,"Contra Costa, CA",tiger
7855371,motor_vehicle,yes,regular
7855371,reviewed,no,tiger
7855371,name_base,Lawrence,tiger
7855371,name_type,St,tiger
7855958,name,Buena Vista,regular
7855958,highway,residential,regular
7855958,cfcc,A41,tiger
7855958,county,"Contra Costa, CA",tiger
7855958,reviewed,no,tiger
7855958,name_base,Buena Vista,tiger
7856709,name,Holcomb Court,regular
7856709,highway,residential,regular
7856709,cfcc,A41,tiger
7856709,county,"Contra Costa, CA",tiger
7856709,reviewed,no,tiger
7856709,name_base,Holcomb,tiger
7856709,name_type,Ct,tiger
7857287,name,Drake Way,regular
7857287,highway,residential,regular
7857287,cfcc,A41,tiger
7857287,county,"Contra Costa, CA",tiger
7857287,reviewed,no,tiger
7857287,name_base,Drake,tiger
7857287,name_type,Way,tiger
7857840,name,Lily Street,regular
7857840,highway,residential,regular
7857840,cfcc,A41,tiger
7857840,county,"Contra Costa, CA",tiger
7857840,reviewed,no,tiger
7857840,name_base,Lily,tiger
7857840,name_type,St,tiger
7858405,name,Wilkinson Lane,regular
7858405,highway,service,regular
7858405,cfcc,A41,tiger
7858405,county,"Contra Costa, CA",tiger
7858405,reviewed,no,tiger
7858405,name_base,Wilkinson,tiger
7858405,name_type,Ln,tiger
7858838,highway,residential,regular
7858838,name,1st Street,regular
7858838,cfcc,A41,tiger
7858838,county,"Contra Costa, CA",tiger
7858838,name_base,1st,tiger
7858838,name_type,St,tiger
7859381,name,Woodview Court,regular
7859381,highway,residential,regular
7859381,cfcc,A41,tiger
7859381,county,"Contra Costa, CA",tiger
7859381,reviewed,no,tiger
7859381,name_base,Woodview,tiger
7859381,name_type,Ct,tiger
7859894,name,Waltrip Lane,regular
7859894,highway,residential,regular
7859894,cfcc,A41,tiger
7859894,county,"Contra Costa, CA",tiger
7859894,reviewed,no,tiger
7859894,name_base,Waltrip,tiger
7859894,name_type,Ln,tiger
7860520,name,9th Street,regular
7860520,highway,residential,regular
7860520,surface,paved,regular
7860520,sidewalk,both,regular
7860520,cfcc,A41,tiger
